FIGHTER,UFC_URL,HEIGHT
Mike Ciesnolevicz,http://ufcstats.com/fighter-details/9e3dbb9c68ed5d1a,Not Fighting
Laverne Clark,,Not Fighting
Logan Clark,,Not Fighting
Josh Clopton,http://ufcstats.com/fighter-details/0c1a04afca64e38f,Not Fighting
Brian Cobb,,Not Fighting
John Cofer,http://ufcstats.com/fighter-details/989b85f6540c86b1,Not Fighting
Christian Colombo,http://ufcstats.com/fighter-details/ae071698e1a3ccd4,Not Fighting
Wes Combs,http://ufcstats.com/fighter-details/184b955181bdef52,Not Fighting
Chris Condo,http://ufcstats.com/fighter-details/ee0b69e307c857e5,Not Fighting
Bob Cook,,Not Fighting
Kit Cope,,Not Fighting
Josh Copeland,http://ufcstats.com/fighter-details/0c1a04afca64e38f,Not Fighting
Wesley Correira,http://ufcstats.com/fighter-details/184b955181bdef52,Not Fighting
JC Cottrell,,Not Fighting
Jeff Cox,,Not Fighting
Dan Cramer,http://ufcstats.com/fighter-details/e4ba58725825412d,Not Fighting
Alberto Crane,http://ufcstats.com/fighter-details/7bd94b60d7521e4a,Not Fighting
Paul Creighton,,Not Fighting
Richard Crunkilton,http://ufcstats.com/fighter-details/210935fd21670f6d,
Marcio Cruz,http://ufcstats.com/fighter-details/d53482bef23235ba,Not Fighting
Jay Cucciniello,,Not Fighting
Larry Cureton,,Not Fighting
Cindy Dandois,http://ufcstats.com/fighter-details/17615148dd4be6f6,Not Fighting
Alexandre Dantas,http://ufcstats.com/fighter-details/20821819c401ced8,Not Fighting
Sean Daugherty,http://ufcstats.com/fighter-details/e741536153227386,
Rick Davis,,Not Fighting
Mike Davis,http://ufcstats.com/fighter-details/9e3dbb9c68ed5d1a,Active
Rodrigo de Lima,,Not Fighting
Edilberto de Oliveira,http://ufcstats.com/fighter-details/d26934530dc5b248,
Jorge de Oliveira,http://ufcstats.com/fighter-details/55ee431411ccf07a,Not Fighting
Tom DeBlass,http://ufcstats.com/fighter-details/93fe7332d16c6ad9,Not Fighting
Shane del Rosario,http://ufcstats.com/fighter-details/c61b49cec6abd6b9,Not Fighting
Jason DeLucia,http://ufcstats.com/fighter-details/9bcfb40dbcd50568,Not Fighting
Nick Denis,http://ufcstats.com/fighter-details/ebc5af72ad5a28cb,Not Fighting
Edwin DeWees,http://ufcstats.com/fighter-details/6cadc0a0ba7dc015,Not Fighting
Eldo Xavier Dias,,Not Fighting
David Dodd,http://ufcstats.com/fighter-details/b361180739bed4b0,Not Fighting
Cameron Dollar,,Not Fighting
Houston Dorr,http://ufcstats.com/fighter-details/0541480fbf719d86,Not Fighting
Antonio Dos Santos,http://ufcstats.com/fighter-details/dbd198f780286aca,Not Fighting
John Dowdy,http://ufcstats.com/fighter-details/989b85f6540c86b1,Not Fighting
Derek Downey,http://ufcstats.com/fighter-details/19ba965651486013,Not Fighting
Robert Drysdale,http://ufcstats.com/fighter-details/70fa1c64a2c439ef,Not Fighting
Hugo Duarte,http://ufcstats.com/fighter-details/d25e39e74efb0a77,Not Fighting
Milana Dudieva,,Not Fighting
Alexis Dufresne,http://ufcstats.com/fighter-details/1562b12763cc8d67,Not Fighting
Kelly Dullanty,,Not Fighting
Luiz Dutra,http://ufcstats.com/fighter-details/063649e21bc9d6d5,Not Fighting
Ben Earwood,http://ufcstats.com/fighter-details/c4fe2e9a06ea5bcb,Not Fighting
Cody East,,Not Fighting
Abdul-Kerim Edilov,,Not Fighting
Tom Egan,http://ufcstats.com/fighter-details/93fe7332d16c6ad9,Not Fighting
Justin Eilers,http://ufcstats.com/fighter-details/bf0e700106d00e55,Not Fighting
Jon Olav Einemo,,
Per Eklund,,Not Fighting
Lisa Ellis,http://ufcstats.com/fighter-details/1338e2c7480bdf9e,Not Fighting
Anna Elmose,,Retired
Ian Entwistle,,Not Fighting
Konstantin Erokhin,,Not Fighting
Fred Ettish,,Not Fighting
Doug Evans,,Not Fighting
Dan Evensen,http://ufcstats.com/fighter-details/e4ba58725825412d,Not Fighting
Edward Faaloloto,,Not Fighting
Ron Faircloth,,Not Fighting
Jason Fairn,http://ufcstats.com/fighter-details/9e3dbb9c68ed5d1a,Not Fighting
Rinat Fakhretdinov,,Active
Maiquel Falcao,,Not Fighting
Brodie Farber,,Not Fighting
Kalindra Faria,http://ufcstats.com/fighter-details/e87a13e02c01331d,Not Fighting
Kelly Faszholz,,Not Fighting
Josh Ferguson,http://ufcstats.com/fighter-details/0c1a04afca64e38f,Not Fighting
CJ Fernandes,http://ufcstats.com/fighter-details/cad24459b28592ca,Not Fighting
Alexandre Ferreira,http://ufcstats.com/fighter-details/20821819c401ced8,Not Fighting
Scott Ferrozzo,http://ufcstats.com/fighter-details/2620f3eb21c79614,Not Fighting
Scott Fiedler,http://ufcstats.com/fighter-details/2620f3eb21c79614,
Colin Fletcher,http://ufcstats.com/fighter-details/047a91d3d9c79b05,Not Fighting
Xavier Foupa-Pokam,,Not Fighting
Zane Frazier,,Not Fighting
Ian Freeman,,Not Fighting
Willamy Freire,,
Don Frye,,Retired
Tony Fryklund,,
Katsuhisa Fujii,,
Travis Fulton,,Not Fighting
Sam Fulton,http://ufcstats.com/fighter-details/0e9869d712e81f8f,Not Fighting
Sheila Gaff,,Not Fighting
Dave Galera,,Not Fighting
Tom Gallicchio,http://ufcstats.com/fighter-details/93fe7332d16c6ad9,Not Fighting
Joey Gambino,http://ufcstats.com/fighter-details/30ad2050273d016a,Not Fighting
Sean Gannon,http://ufcstats.com/fighter-details/e741536153227386,Not Fighting
