FIRST,LAST,NICKNAME,URL
Garrett,Armfield,,http://ufcstats.com/fighter-details/1effd880e1f1bb30
Joey,Armstrong,,http://ufcstats.com/fighter-details/30ad2050273d016a
Austin,Arnett,,http://ufcstats.com/fighter-details/bf0e700106d00e55
Antonio,Arroyo,,http://ufcstats.com/fighter-details/61fb8098ccf81c7f
Gilles,Arsene,,http://ufcstats.com/fighter-details/2dea80c069847321
Veta,Arteaga,,http://ufcstats.com/fighter-details/91e3388e69060e69
Kai,Asakura,,http://ufcstats.com/fighter-details/d33da8a3d82bdb62
,Asjabharan,,http://ufcstats.com/fighter-details/8be9deb7d6b36354
Scott,Askham,,http://ufcstats.com/fighter-details/06827d70c53ff0d9
Tom,Aspinall,,http://ufcstats.com/fighter-details/399afbabc02376b5
Junior,Assuncao,,http://ufcstats.com/fighter-details/d0d7160824278840
Raphael,Assuncao,,http://ufcstats.com/fighter-details/2f13e4020cea5b38
David,Avellan,,http://ufcstats.com/fighter-details/956dcac65e7b34d6
Levi,Avera,,http://ufcstats.com/fighter-details/ba5c6eeb8ef45f5c
Anthony,Avila,,http://ufcstats.com/fighter-details/033d19259f589457
Chris,Avila,,http://ufcstats.com/fighter-details/4665cbf36b08193b
Jessin,Ayari,,http://ufcstats.com/fighter-details/6eaec40f724852f4
Luiz,Azeredo,,http://ufcstats.com/fighter-details/063649e21bc9d6d5
Luciano,Azevedo,,http://ufcstats.com/fighter-details/9bcfb40dbcd50568
Hunter,Azure,,http://ufcstats.com/fighter-details/2af2f2e26c4c0402
Niklas,Backstrom,,http://ufcstats.com/fighter-details/39cc64bf0a269db9
Izabela,Badurek,,http://ufcstats.com/fighter-details/4fcf6e0c4e0e6664
Shamar,Bailey,,http://ufcstats.com/fighter-details/e2b8186b618b00c4
Jordan,Bailey,,http://ufcstats.com/fighter-details/34dbcd4dbaf21a36
Scott,Baker,,http://ufcstats.com/fighter-details/7d5b12de1625984e
Jin,Bala,,http://ufcstats.com/fighter-details/371efa53bd0cf669
,Balajin,The Snow Leopard,http://ufcstats.com/fighter-details/e626e92a8f2a9737
Stephen,Banaszak,,http://ufcstats.com/fighter-details/4c4b44e3cf5815b3
