EVENT,BOUT,OUTCOME,WEIGHTCLASS,METHOD,ROUND,TIME,TIME FORMAT,REFEREE,DETAILS,URL
UFC 217: Bisping vs. St-Pierre ,Aleksei Oleinik  vs. Curtis Blaydes ,L/W,Heavyweight Bout,TKO - Doctor's Stoppage ,2,1:39,3 Rnd (5-5-5),Blake Grice,,http://ufcstats.com/fight-details/8c2fb17981464d8c
UFC Fight Night: Manuwa vs. Anderson ,Marc Diakiese  vs. Teemu Packalen ,W/L,Lightweight Bout,KO/TKO ,1,0:30,3 Rnd (5-5-5),,Punch to Head At Distance ,http://ufcstats.com/fight-details/eee7f546c126ee8b
UFC Fight Night: Rothwell vs Dos Santos ,Mairbek Taisumov  vs. Damir Hadzovic ,W/L,Lightweight Bout,KO/TKO ,1,3:44,3 Rnd (5-5-5),,Punch to Head At Distance ,http://ufcstats.com/fight-details/79884c0df84662b9
UFC Fight Night: Silva vs Bisping ,Davey Grant  vs. Marlon Vera ,W/L,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),,Ben Cartlidge 26 - 30.Howard Hughes 26 - 30.Maciej Motylewski 26 - 30.,http://ufcstats.com/fight-details/c959b92fb36220a3
UFC Fight Night: Silva vs Bisping ,Norman Parke  vs. Rustam Khabilov ,L/W,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),,Howard Hughes 28 - 29.Andy Roberts 28 - 29.Paul Sutherland 28 - 29.,http://ufcstats.com/fight-details/b29d4e0117776bb3
UFC Fight Night: Dillashaw vs Cruz ,Anthony Pettis  vs. Eddie Alvarez ,L/W,Lightweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),,Doug Crosby 28 - 29.Ryan Shea 29 - 28.Bryan Miner 28 - 29.,http://ufcstats.com/fight-details/3ce6f9eb59a1e149
UFC 194: Aldo vs McGregor ,Max Holloway  vs. Jeremy Stephens ,W/L,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),,Chris Lee 27 - 30.Glenn Trowbridge 27 - 30.Junichiro Kamijo 28 - 29.,http://ufcstats.com/fight-details/3b321550c8b4aae6
UFC 187: Johnson vs Cormier ,Islam Makhachev  vs. Leo Kuntz ,W/L,Lightweight Bout,Submission ,2,2:38,3 Rnd (5-5-5),,Rear Naked Choke ,http://ufcstats.com/fight-details/3c3da227fbe36a28
UFC Fight Night: Edgar vs Faber ,Tae Hyun Bang  vs. Jon Tuck ,L/W,Lightweight Bout,Submission ,1,3:56,3 Rnd (5-5-5),,Rear Naked Choke ,http://ufcstats.com/fight-details/1e176413438fabd5
UFC Fight Night: Bigfoot vs Arlovski ,Rani Yahya  vs. Johnny Bedford ,W/L,Bantamweight Bout,Submission ,2,2:04,3 Rnd (5-5-5),,Kimura From Side Control ,http://ufcstats.com/fight-details/6f19f24780c4f23f
The Ultimate Fighter: Team Edgar vs. Team Penn Finale ,Robert Drysdale  vs. Keith Berish ,NC/NC,Light Heavyweight Bout,Overturned ,1,2:03,3 Rnd (5-5-5),Mark Smith,,http://ufcstats.com/fight-details/a6245f48fc60bc6a
UFC 171: Hendricks vs Lawler ,Robert McDaniel  vs. Sean Strickland ,L/W,Middleweight Bout,Submission ,1,4:33,3 Rnd (5-5-5),,Rear Naked Choke ,http://ufcstats.com/fight-details/8f979d206eaec468
UFC 171: Hendricks vs Lawler ,Daniel Pineda  vs. Robert Whiteford ,L/W,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),,Doug Crosby 27 - 30.Mike Gonzalez 28 - 29.Dan Mathisen 28 - 29.,http://ufcstats.com/fight-details/543dca66a449d9d5
UFC Fight Night: Machida vs Munoz ,Al Iaquinta  vs. Piotr Hallmann ,W/L,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),,Ben Cartlidge 28 - 29.Howard Hughes 27 - 30.Andy Roberts 27 - 30.,http://ufcstats.com/fight-details/22fdf7a08691db5d
UFC Fight Night: Shogun vs Sonnen ,Urijah Faber  vs. Iuri Alcantara ,W/L,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),,Sal D'amato 26 - 30.Bryan Miner 26 - 30.Ryan Shea 27 - 30.,http://ufcstats.com/fight-details/751f2796809d2a6f
UFC Fight Night: Shogun vs Sonnen ,Brad Pickett  vs. Michael McDonald ,L/W,Bantamweight Bout,Submission ,2,3:43,3 Rnd (5-5-5),,Triangle Choke From Bottom Guard ,http://ufcstats.com/fight-details/8e41d022b55277ae
UFC 158: St-Pierre vs Diaz ,Mike Ricci  vs. Colin Fletcher ,W/L,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),,Claude Paquette 27 - 30.Benoit Roussel 27 - 30.David Therien 27 - 30.,http://ufcstats.com/fight-details/cc6e74d0558b7340
UFC on FX: Alves vs Kampmann ,Oli Thompson  vs. Shawn Jordan ,L/W,Heavyweight Bout,KO/TKO ,2,3:53,3 Rnd (5-5-5),,Punches to Head At Distance ,http://ufcstats.com/fight-details/6ba485fc7b8f38ee
UFC 35: Throwdown ,Kevin Randleman  vs. Renato Sobral ,W/L,Light Heavyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),John McCarthy,,http://ufcstats.com/fight-details/f67fa758cc79cd65
UFC 35: Throwdown ,Gil Castillo  vs. Chris Brennan ,W/L,Welterweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mason White,,http://ufcstats.com/fight-details/8762b96aaefb03af
UFC 31: Locked and Loaded ,Randy Couture  vs. Pedro Rizzo ,W/L,UFC Heavyweight Title Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),John McCarthy,,http://ufcstats.com/fight-details/6f62436ae042009b
UFC 30: Battle on the Boardwalk ,Jens Pulver  vs. Caol Uno ,W/L,UFC Lightweight Title Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),John McCarthy,,http://ufcstats.com/fight-details/a38ec65ac140fcf8
UFC 30: Battle on the Boardwalk ,Phil Baroni  vs. Curtis Stout ,W/L,Middleweight Bout,Decision - Unanimous ,2,5:00,2 Rnd (5-5),Mason White,,http://ufcstats.com/fight-details/a949b05c64e43131
UFC 29: Defense of the Belts ,Chuck Liddell  vs. Jeff Monson ,W/L,Middleweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,,http://ufcstats.com/fight-details/9ea4087371f7a892
UFC 28: High Stakes ,Renato Sobral  vs. Maurice Smith ,W/L,Heavyweight Bout,Decision - Majority ,3,5:00,3 Rnd (5-5-5),John McCarthy,,http://ufcstats.com/fight-details/40d31c37e00d6d0b
UFC 28: High Stakes ,Mark Hughes  vs. Alex Stiebling ,W/L,Middleweight Bout,Decision - Unanimous ,2,5:00,2 Rnd (5-5),Mario Yamasaki,,http://ufcstats.com/fight-details/b85ce7371fb18305
UFC 28: High Stakes ,Ben Earwood  vs. Chris Lytle ,W/L,Welterweight Bout,Decision - Unanimous ,2,5:00,2 Rnd (5-5),Mario Yamasaki,,http://ufcstats.com/fight-details/4aef975838bc19ec
UFC 27: Ultimate Bad Boyz ,Maurice Smith  vs. Bobby Hoffman ,W/L,Heavyweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),John McCarthy,,http://ufcstats.com/fight-details/c5bec85a32462995
