FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,UFC_URL,MMADECISIONS_URL
David Levicki,"0.00""",0.00 lbs.,,,,http://ufcstats.com/fighter-details/b361180739bed4b0,
John Lewis,"72.00""",157.00 lbs.,,,,http://ufcstats.com/fighter-details/989b85f6540c86b1,
Jess Liaudin,"69.00""",155.00 lbs.,,,,,
Zach Light,"68.00""",168.00 lbs.,,,,,
Chris Liguori,,,,,,http://ufcstats.com/fighter-details/ee0b69e307c857e5,
Jake Lindsey,"71.00""",156.00 lbs.,"71.00""",,,,
Lucio Linhares,"74.00""",184.00 lbs.,,,,http://ufcstats.com/fighter-details/db3c4a884d704efe,
Abner Lloveras,"71.00""",155.00 lbs.,,,,,
John Lober,"0.00""",0.00 lbs.,,,,http://ufcstats.com/fighter-details/989b85f6540c86b1,
Dileno Lopes,"65.00""",135.00 lbs.,"65.00""",,,,
Steve Lopez,"71.00""",156.00 lbs.,,,,,
Jorge Lopez,"70.00""",171.00 lbs.,,,,,
Nate Loughran,"74.00""",185.00 lbs.,,,,,
Ian Loveland,"68.00""",135.00 lbs.,,,,http://ufcstats.com/fighter-details/9199e0735b83dd32,
Waylon Lowe,"67.00""",156.00 lbs.,,,,,
Robert Lucarelli,"0.00""",0.00 lbs.,,,,,
Matt Lucas,"73.00""",203.00 lbs.,,,,http://ufcstats.com/fighter-details/11583163f45c7b31,
Mike Lullo,"68.00""",146.00 lbs.,"70.00""",,,http://ufcstats.com/fighter-details/9e3dbb9c68ed5d1a,
Thaddeus Luster,"0.00""",0.00 lbs.,,,,,
Stevie Lynch,"70.00""",170.00 lbs.,,,,,
